	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K10202	K10202	K10202: N-acetylglucosamine transport system permease protein	72	14	0.000168577	6.62E-05	0.392667171	0.000449267
K09759	K09759	K09759: nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]	72	14	0.000209825	7.07E-05	0.337176674	0.000449267
K06972	K06972	K06972: NO_NAME	72	14	0.000189351	6.29E-05	0.332425126	0.000469439
K06378	K06378	K06378: stage II sporulation protein AA (anti-sigma F factor antagonist)	72	14	0.000283526	0.000101777	0.358970213	0.000479839
K18672	K18672	K18672: NO_NAME	72	14	0.000245068	8.07E-05	0.329411231	0.000490454
K09749	K09749	K09749: hypothetical protein	72	14	0.000155646	4.69E-05	0.301506008	0.000512343
K09163	K09163	K09163: hypothetical protein	72	14	0.000160408	4.69E-05	0.292212138	0.00053514
K06902	K06902	"K06902: MFS transporter, UMF1 family"	72	14	0.000189901	6.62E-05	0.348822536	0.000558879
K02406	K02406	K02406: flagellin	72	14	0.000514335	0.000183444	0.356662556	0.000558879
K17734	K17734	K17734: NO_NAME	72	14	3.93E-05	9.26E-06	0.23556981	0.000583596
K06438	K06438	K06438: similar to stage IV sporulation protein	72	14	0.000291335	0.000100658	0.345504301	0.000596333
K06937	K06937	K06937: NO_NAME	72	14	3.47E-05	5.58E-06	0.160898297	0.000609328
K13789	K13789	"K13789: geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"	72	14	0.000308987	0.000133054	0.430614237	0.000609328
K02396	K02396	K02396: flagellar hook-associated protein 1 FlgK	72	14	0.000370651	0.000139701	0.376908015	0.000636112
K06393	K06393	K06393: stage III sporulation protein AD	72	14	0.000265243	9.02E-05	0.340076435	0.000649911
K02765	K02765	"K02765: PTS system, D-glucosamine-specific IIC component"	72	14	0.000224705	8.49E-05	0.37798975	0.000692997
K02763	K02763	"K02763: PTS system, D-glucosamine-specific IIA component [EC:2.7.1.-]"	72	14	0.000224705	8.49E-05	0.37798975	0.000692997
K16511	K16511	K16511: NO_NAME	72	14	0.000458353	0.000169491	0.36978357	0.000692997
K02764	K02764	"K02764: PTS system, D-glucosamine-specific IIB component [EC:2.7.1.-]"	72	14	0.000224705	8.49E-05	0.37798975	0.000692997
K03480	K03480	K03480: transcriptional antiterminator	72	14	0.000206907	6.35E-05	0.30687171	0.000707939
K03151	K03151	K03151: thiamine biosynthesis protein ThiI	72	14	0.00045791	0.000224625	0.490543071	0.000723179
K04041	K04041	"K04041: fructose-1,6-bisphosphatase III [EC:3.1.3.11]"	72	14	0.000431084	0.000161424	0.374461704	0.000723179
K00972	K00972	K00972: UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]	72	14	0.000194023	6.52E-05	0.336198778	0.000723179
K03523	K03523	K03523: biotin transport system substrate-specific component	72	14	0.00055845	0.000242037	0.433409149	0.000723179
K06382	K06382	K06382: stage II sporulation protein E	72	14	0.000293157	0.000113665	0.387727232	0.000738725
K07216	K07216	K07216: hemerythrin	72	14	0.000430517	0.000155358	0.360864652	0.00075458
K07718	K07718	"K07718: two-component system, sensor histidine kinase YesM [EC:2.7.13.3]"	72	14	0.000663963	0.000265684	0.40014852	0.00075458
K19507	K19507	"K19507: PTS system, fructoselysine/glucoselysine-specific IIB component [EC:2.7.1.-]"	72	14	9.80E-05	1.50E-05	0.153533048	0.00075458
K01449	K01449	K01449: N-acetylmuramoyl-L-alanine amidase	72	14	6.69E-05	1.33E-05	0.198556803	0.00077075
K04061	K04061	K04061: flagellar biosynthesis protein	72	14	0.000165033	4.93E-05	0.298630231	0.000821213
K10201	K10201	K10201: N-acetylglucosamine transport system permease protein	72	14	0.000175257	8.29E-05	0.473193059	0.000856539
K06395	K06395	K06395: stage III sporulation protein AF	72	14	0.000230652	7.81E-05	0.338743348	0.000931458
K06379	K06379	K06379: stage II sporulation protein AB (anti-sigma F factor)	72	14	0.000344157	0.000143548	0.417099369	0.000931458
K07496	K07496	K07496: putative transposase	72	14	0.000526556	0.000206162	0.391528184	0.000971152
K10540	K10540	K10540: methyl-galactoside transport system substrate-binding protein	72	14	0.000458024	0.000201674	0.440313874	0.001012408
K10188	K10188	K10188: lactose/L-arabinose transport system substrate-binding protein	72	14	0.000124274	2.95E-05	0.23704535	0.001012408
K03410	K03410	K03410: chemotaxis protein CheC	72	14	0.000165793	5.13E-05	0.309585816	0.001012408
K17318	K17318	K17318: putative aldouronate transport system substrate-binding protein	72	14	0.000833093	0.000354055	0.424989031	0.001055282
K06406	K06406	K06406: stage V sporulation protein AD	72	14	0.00024974	9.91E-05	0.396729041	0.001055282
K00975	K00975	K00975: glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	72	14	0.001555188	0.000834848	0.536814762	0.00109983
K07699	K07699	"K07699: two-component system, response regulator, stage 0 sporulation protein A"	72	14	0.000432292	0.000177921	0.411574908	0.00109983
K02115	K02115	K02115: F-type H+-transporting ATPase subunit gamma	72	14	0.00110948	0.000817058	0.736433128	0.001146111
K03660	K03660	K03660: N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	72	14	0.000267997	9.85E-05	0.367408535	0.001169921
K07720	K07720	"K07720: two-component system, response regulator YesN"	72	14	0.00072412	0.000311363	0.42998829	0.001194188
K06398	K06398	K06398: stage IV sporulation protein A	72	14	0.000270698	0.000111557	0.412109711	0.001194188
K16898	K16898	K16898: NO_NAME	72	14	0.000319395	0.000144145	0.45130738	0.001194188
K17319	K17319	K17319: putative aldouronate transport system permease protein	72	14	0.000769909	0.000328112	0.426169695	0.001194188
K08602	K08602	K08602: oligoendopeptidase F	72	14	0.000199539	7.59E-05	0.38018767	0.001194188
K04720	K04720	K04720: threonine-phosphate decarboxylase [EC:4.1.1.81]	72	14	0.000271284	0.000126279	0.46548705	0.001244121
K10121	K10121	K10121: putative sugar transport system permease protein	72	14	1.75E-05	8.73E-06	0.497965812	0.001244121
K06967	K06967	K06967: NO_NAME	72	14	0.000395207	0.000159848	0.404466938	0.00134982
K03616	K03616	K03616: electron transport complex protein RnfB	72	14	3.45E-05	9.46E-05	2.739405134	0.00140572
K02502	K02502	K02502: ATP phosphoribosyltransferase regulatory subunit	72	14	0.000338189	0.000158296	0.468070243	0.00140572
K06928	K06928	K06928: nucleoside-triphosphatase [EC:3.6.1.15]	72	14	2.17E-05	4.00E-06	0.183838329	0.00140572
K00533	K00533	K00533: ferredoxin hydrogenase large subunit	72	14	0.000162269	5.60E-05	0.345213791	0.001434464
K06403	K06403	K06403: stage V sporulation protein AA	72	14	0.000224258	8.66E-05	0.386123386	0.001463749
K06397	K06397	K06397: stage III sporulation protein AH	72	14	0.00015725	5.71E-05	0.362844262	0.001523977
K06399	K06399	K06399: stage IV sporulation protein B	72	14	0.000191969	6.86E-05	0.357261946	0.00155494
K09766	K09766	K09766: hypothetical protein	72	14	0.000108544	3.76E-05	0.345948519	0.001586482
K03091	K03091	K03091: RNA polymerase sporulation-specific sigma factor	72	14	0.001569824	0.000736563	0.469201217	0.001586482
K07137	K07137	K07137: NO_NAME	72	14	0.000631954	0.000308723	0.488520865	0.001651338
K03429	K03429	"K03429: processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]"	72	14	0.000207189	9.32E-05	0.449848883	0.001651338
K19294	K19294	K19294: NO_NAME	72	14	0.000124673	2.94E-05	0.235942586	0.001651338
K02237	K02237	K02237: competence protein ComEA	72	14	0.00032739	0.000150835	0.460720271	0.001718627
K03407	K03407	"K03407: two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	72	14	0.000232317	8.54E-05	0.367730304	0.001718627
K01193	K01193	K01193: beta-fructofuranosidase [EC:3.2.1.26]	72	14	0.000690289	0.00030218	0.437758485	0.001718627
K11928	K11928	K11928: sodium/proline symporter	72	14	0.000443276	0.000223185	0.503489753	0.001718627
K11358	K11358	K11358: aspartate aminotransferase [EC:2.6.1.1]	72	14	0.000350358	0.000159076	0.454039566	0.001718627
K19509	K19509	"K19509: PTS system, fructoselysine/glucoselysine-specific IID component"	72	14	9.21E-05	1.77E-05	0.192600254	0.001753208
K06374	K06374	K06374: spore maturation protein B	72	14	0.000160804	4.68E-05	0.291009567	0.001788428
K02238	K02238	K02238: competence protein ComEC	72	14	0.000313038	0.000146244	0.467177441	0.001788428
K07015	K07015	K07015: NO_NAME	72	14	0.000254484	0.000120657	0.47412306	0.001788428
K03665	K03665	K03665: GTP-binding protein HflX	72	14	0.000564513	0.000378276	0.670093141	0.00193591
K06603	K06603	K06603: flagellar protein FlaG	72	14	0.000128744	4.44E-05	0.345019682	0.001974486
K07816	K07816	K07816: putative GTP pyrophosphokinase [EC:2.7.6.5]	72	14	0.000970928	0.00041272	0.425077715	0.002013766
K07105	K07105	K07105: NO_NAME	72	14	0.000348617	0.000155628	0.446414153	0.002013766
K07456	K07456	K07456: DNA mismatch repair protein MutS2	72	14	0.000324131	0.00015026	0.463578599	0.002013766
K00169	K00169	K00169: pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	72	14	6.79E-05	1.93E-05	0.28404874	0.002013766
K00595	K00595	"K00595: precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]"	72	14	0.000204502	9.14E-05	0.447124109	0.002013766
K01567	K01567	K01567: NO_NAME	72	14	9.19E-05	8.78E-06	0.095484162	0.002053761
K06023	K06023	K06023: HPr kinase/phosphorylase	72	14	0.000450209	0.000221545	0.492092898	0.002094485
K05995	K05995	K05995: dipeptidase E	72	14	0.000835049	0.000416039	0.498220615	0.002094485
K02803	K02803	"K02803: PTS system, N-acetylglucosamine-specific IIB component [EC:2.7.1.193]"	72	14	0.000348566	0.000152009	0.436098434	0.002094485
K00620	K00620	K00620: glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	72	14	0.000460158	0.000237076	0.515206061	0.002094485
K02804	K02804	"K02804: PTS system, N-acetylglucosamine-specific IIC component"	72	14	0.000348531	0.000152002	0.43612263	0.002094485
K05919	K05919	K05919: superoxide reductase	72	14	0.000634827	0.000291826	0.459694541	0.002178162
K18350	K18350	"K18350: two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]"	72	14	0.000234108	6.71E-05	0.286491356	0.002178162
K02662	K02662	K02662: type IV pilus assembly protein PilM	72	14	0.000113171	3.64E-05	0.321406462	0.002178162
K09770	K09770	K09770: hypothetical protein	72	14	0.000148907	5.80E-05	0.389627823	0.00222114
K17675	K17675	K17675: NO_NAME	72	14	0.000150548	5.17E-05	0.343741989	0.002264893
K09765	K09765	K09765: hypothetical protein	72	14	0.000334396	0.000387138	1.157722337	0.002264893
K09787	K09787	K09787: hypothetical protein	72	14	0.000343271	0.000160505	0.467576275	0.002309435
K06390	K06390	K06390: stage III sporulation protein AA	72	14	0.000265989	0.000110708	0.416212341	0.002354778
K00394	K00394	"K00394: adenylylsulfate reductase, subunit A [EC:1.8.99.2]"	72	14	0.000253746	9.93E-05	0.391438434	0.002354778
K05366	K05366	K05366: penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-]	72	14	0.000319135	0.000157962	0.494968378	0.002354778
K07658	K07658	"K07658: two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP"	72	14	0.000348835	0.000154387	0.442579847	0.002447919
K03706	K03706	K03706: transcriptional pleiotropic repressor	72	14	0.000308178	0.000137521	0.446237066	0.002544419
K03700	K03700	K03700: recombination protein U	72	14	0.000303585	0.000141198	0.465102931	0.002544419
K06041	K06041	K06041: arabinose-5-phosphate isomerase [EC:5.3.1.13]	72	14	0.000264965	0.000481585	1.817541821	0.002544419
K02003	K02003	K02003: NO_NAME	72	14	0.005904016	0.003686763	0.624449925	0.002644387
K07533	K07533	K07533: foldase protein PrsA	72	14	0.00024768	0.000100924	0.407478665	0.002644387
K00949	K00949	K00949: thiamine pyrophosphokinase [EC:2.7.6.2]	72	14	0.000441223	0.000251948	0.571022916	0.002747933
K03411	K03411	K03411: chemotaxis protein CheD [EC:3.5.1.44]	72	14	0.000111629	4.36E-05	0.39025324	0.002747933
K06381	K06381	K06381: stage II sporulation protein D	72	14	0.000182332	7.60E-05	0.416995944	0.002747933
K17320	K17320	K17320: putative aldouronate transport system permease protein	72	14	0.000843451	0.000398362	0.472300136	0.002747933
K06209	K06209	K06209: chorismate mutase [EC:5.4.99.5]	72	14	0.000267192	0.000119484	0.447184606	0.002855171
K06392	K06392	K06392: stage III sporulation protein AC	72	14	0.000365649	0.000163597	0.447415645	0.002855171
K04562	K04562	K04562: flagellar biosynthesis protein FlhG	72	14	0.000109717	4.13E-05	0.376506877	0.002855171
K06179	K06179	K06179: ribosomal large subunit pseudouridine synthase C	72	14	0.000260384	0.000127742	0.49059152	0.002966216
K06215	K06215	K06215: pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	72	14	0.000239973	0.000113152	0.471520661	0.002966216
K07813	K07813	K07813: accessory gene regulator B	72	14	0.000761329	0.000293492	0.385500009	0.002966216
K01012	K01012	K01012: biotin synthase [EC:2.8.1.6]	72	14	0.000675259	0.000425646	0.630345231	0.002966216
K07979	K07979	K07979: GntR family transcriptional regulator	72	14	0.000821794	0.000383293	0.466410353	0.003081189
K16927	K16927	K16927: NO_NAME	72	14	8.46E-05	1.08E-05	0.127508604	0.003140186
K06404	K06404	K06404: stage V sporulation protein AB	72	14	0.000186354	6.88E-05	0.369097244	0.00332341
K02650	K02650	K02650: type IV pilus assembly protein PilA	72	14	0.000195576	5.09E-05	0.260503025	0.00332341
K06383	K06383	K06383: stage II sporulation protein GA (sporulation sigma-E factor	72	14	0.000265008	0.000107688	0.40635657	0.003450914
K01872	K01872	K01872: alanyl-tRNA synthetase [EC:6.1.1.7]	72	14	0.000347316	0.0001761	0.507030741	0.003450914
K12510	K12510	K12510: tight adherence protein B	72	14	0.000256208	0.000114603	0.447303554	0.003516321
K04070	K04070	K04070: putative pyruvate formate lyase activating enzyme	72	14	0.000278723	0.000133385	0.478556935	0.003582854
K04066	K04066	K04066: primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]	72	14	0.000310507	0.000147588	0.475313882	0.003582854
K01733	K01733	K01733: threonine synthase [EC:4.2.3.1]	72	14	0.000673945	0.000430951	0.639445037	0.003582854
K07183	K07183	K07183: response regulator NasT	72	14	0.000237963	9.83E-05	0.412965638	0.003719367
K11069	K11069	K11069: spermidine/putrescine transport system substrate-binding protein	72	14	0.000413435	0.00025399	0.61434131	0.003719367
K01854	K01854	K01854: UDP-galactopyranose mutase [EC:5.4.99.9]	72	14	0.000511848	0.000259	0.506009498	0.003860593
K11145	K11145	K11145: ribonuclease III family protein	72	14	0.000400286	0.000206192	0.515110636	0.003860593
K02392	K02392	K02392: flagellar basal-body rod protein FlgG	72	14	0.000380618	0.000173189	0.455021544	0.004006673
K13052	K13052	K13052: NO_NAME	72	14	0.000219784	9.15E-05	0.416090103	0.004006673
K02404	K02404	K02404: flagellar biosynthesis protein FlhF	72	14	9.54E-05	3.80E-05	0.398189411	0.004006673
K04047	K04047	K04047: starvation-inducible DNA-binding protein	72	14	0.000332514	0.000563204	1.693777659	0.004006673
K10547	K10547	K10547: putative multiple sugar transport system permease protein	72	14	2.69E-05	7.36E-06	0.273381376	0.00408158
K04487	K04487	K04487: cysteine desulfurase [EC:2.8.1.7]	72	14	0.000821248	0.000485643	0.591347428	0.004157755
K06387	K06387	K06387: stage II sporulation protein R	72	14	0.000257069	0.000120309	0.468000033	0.004394082
K00995	K00995	K00995: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	72	14	0.001335083	0.000756361	0.566527633	0.004475523
K13542	K13542	K13542: uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]	72	14	0.000179602	6.92E-05	0.385438046	0.004475523
K00970	K00970	K00970: poly(A) polymerase [EC:2.7.7.19]	72	14	0.000238235	0.000447945	1.880263781	0.004475523
K00615	K00615	K00615: transketolase [EC:2.2.1.1]	72	14	0.001722978	0.00112485	0.652852499	0.004642521
K03581	K03581	K03581: exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	72	14	0.000314092	0.000175771	0.5596156	0.004642521
K06407	K06407	K06407: stage V sporulation protein AE	72	14	0.00027627	0.000129443	0.468539548	0.004642521
K01515	K01515	K01515: ADP-ribose pyrophosphatase [EC:3.6.1.13]	72	14	0.000641975	0.000387603	0.603766477	0.004642521
K03118	K03118	K03118: sec-independent protein translocase protein TatC	72	14	0.000445173	0.00070115	1.575007768	0.004815141
K04486	K04486	K04486: histidinol-phosphatase (PHP family) [EC:3.1.3.15]	72	14	0.00054812	0.000294809	0.537854692	0.004815141
K05297	K05297	K05297: rubredoxin-NAD+ reductase [EC:1.18.1.1]	72	14	0.000180967	6.48E-05	0.358035615	0.005177913
K01443	K01443	K01443: N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	72	14	0.000688081	0.000470217	0.683374459	0.005177913
K06133	K06133	K06133: 4'-phosphopantetheinyl transferase [EC:2.7.8.-]	72	14	0.000287646	0.000143212	0.497876791	0.005368406
K02108	K02108	K02108: F-type H+-transporting ATPase subunit a	72	14	0.00087463	0.000500153	0.571844964	0.005368406
K01990	K01990	K01990: ABC-2 type transport system ATP-binding protein	72	14	0.005670251	0.003865404	0.681698851	0.005368406
K01182	K01182	"K01182: oligo-1,6-glucosidase [EC:3.2.1.10]"	72	14	0.000394326	0.000193181	0.489900088	0.005368406
K10189	K10189	K10189: lactose/L-arabinose transport system permease protein	72	14	0.000110318	2.47E-05	0.224091648	0.005368406
K15051	K15051	K15051: NO_NAME	72	14	0.000212129	0.000105205	0.495945611	0.005565205
K00703	K00703	K00703: starch synthase [EC:2.4.1.21]	72	14	0.00093162	0.000635645	0.682301011	0.005565205
K06409	K06409	K06409: stage V sporulation protein B	72	14	0.000504903	0.000234911	0.465259652	0.005768491
K03168	K03168	K03168: DNA topoisomerase I	72	14	0.000258873	0.000133295	0.514905544	0.005768491
K03437	K03437	"K03437: RNA methyltransferase, TrmH family"	72	14	0.000427904	0.000235188	0.549626851	0.005768491
K03386	K03386	K03386: peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	72	14	0.000337875	0.000578915	1.713400392	0.005978448
K01267	K01267	K01267: aspartyl aminopeptidase	72	14	0.000269958	0.000137024	0.507576829	0.005978448
K07258	K07258	K07258: D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	72	14	0.001017306	0.000665445	0.654125471	0.005978448
K02647	K02647	K02647: carbohydrate diacid regulator	72	14	0.000642462	0.000355516	0.553364061	0.005978448
K07584	K07584	K07584: hypothetical protein	72	14	0.00032467	0.00016322	0.50272545	0.005978448
K01421	K01421	K01421: putative membrane protein	72	14	0.000571121	0.000267803	0.468906932	0.005978448
K08600	K08600	K08600: sortase B	72	14	0.000937283	0.000433994	0.463034618	0.006195267
K18475	K18475	K18475: NO_NAME	72	14	0.000359304	0.000148252	0.412609489	0.006195267
K06173	K06173	K06173: tRNA pseudouridine synthase A	72	14	0.000862834	0.000588451	0.681997976	0.006195267
K07088	K07088	K07088: NO_NAME	72	14	0.001127452	0.000710258	0.629967	0.006195267
K09684	K09684	K09684: purine catabolism regulatory protein	72	14	1.19E-05	2.17E-06	0.18312354	0.00641914
K02027	K02027	K02027: multiple sugar transport system substrate-binding protein	72	14	0.000997321	0.000560437	0.561941945	0.00641914
K03308	K03308	"K03308: neurotransmitter:Na+ symporter, NSS family"	72	14	0.001040266	0.000596012	0.572942062	0.006650266
K01791	K01791	K01791: UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	72	14	0.000447412	0.000753056	1.683137218	0.006650266
K02171	K02171	"K02171: BlaI family transcriptional regulator, penicillinase repressor"	72	14	0.000259502	0.00011069	0.426546816	0.006650266
K06405	K06405	K06405: stage V sporulation protein AC	72	14	0.000273884	0.00013681	0.499518162	0.006768612
K02823	K02823	K02823: dihydroorotate dehydrogenase electron transfer subunit	72	14	0.000432193	0.00026294	0.608385405	0.006888848
K07335	K07335	K07335: basic membrane protein A and related proteins	72	14	0.000276807	0.000129171	0.466645502	0.006888848
K06412	K06412	K06412: stage V sporulation protein G	72	14	0.000452901	0.000253034	0.558696584	0.006888848
K01224	K01224	"K01224: arabinogalactan endo-1,4-beta-galactosidase"	72	14	0.000190803	8.44E-05	0.442524537	0.006888848
K02397	K02397	K02397: flagellar hook-associated protein 3 FlgL	72	14	0.000275162	0.000140013	0.508839959	0.006888848
K02556	K02556	K02556: chemotaxis protein MotA	72	14	0.000102997	4.28E-05	0.415316038	0.006888848
K17234	K17234	K17234: arabinosaccharide transport system substrate-binding protein	72	14	3.51E-05	1.27E-05	0.362440681	0.006888848
K15771	K15771	K15771: arabinogalactan oligomer / maltooligosaccharide transport system permease protein	72	14	0.00046738	0.000230992	0.494226113	0.006888848
K03639	K03639	K03639: cyclic pyranopterin phosphate synthase [EC:4.1.99.18]	72	14	0.00029764	0.000164018	0.551059521	0.006888848
K15582	K15582	K15582: oligopeptide transport system permease protein	72	14	0.000398386	0.000242618	0.609001749	0.00713509
K01448	K01448	K01448: N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	72	14	0.001156404	0.000833781	0.721011265	0.00713509
K00784	K00784	K00784: ribonuclease Z [EC:3.1.26.11]	72	14	0.000674589	0.000481895	0.714353046	0.007389206
K06346	K06346	K06346: spoIIIJ-associated protein	72	14	0.00036162	0.000190086	0.525651244	0.007389206
K00058	K00058	K00058: D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	72	14	0.000809399	0.000537654	0.664262773	0.007389206
